distance,mean,variance,samples
0,1.02634,0.312317,50
0.180448,0.878398,0.144666,50
0.358947,0.893891,0.0783372,50
0.506686,0.902481,0.0481798,50
0.694782,0.91917,0.0785494,50
0.874251,0.880565,0.0908539,50
0.996737,0.976785,0.0875439,50
1.1967,0.9861,0.0782433,50
1.38515,0.94305,0.0611543,50
1.55624,1.05124,0.0667203,50
1.6851,1.0773,0.13503,50
1.88285,0.988504,0.0483018,50
2.07044,1.02912,0.0484227,50
2.24873,0.986898,0.0321689,50
2.384,0.989618,0.0332165,50
2.43481,0.98382,0.0320065,50
2.44775,1.12131,0.0787671,50
2.49866,1.36872,0.525707,50
2.55476,1.90006,0.642662,50
2.66471,1.87623,0.846154,50
2.83159,1.86242,0.816104,50
2.97664,1.51551,0.656731,50
3.08001,1.30982,0.79027,50
3.15972,1.40777,0.688051,50
3.20255,1.57248,0.919838,50
3.24534,1.25972,1.08218,50
3.25838,1.17406,0.686949,50
3.27691,1.26676,1.02423,50
3.31207,1.24226,0.75332,50
3.32655,1.75959,1.16091,50
3.33112,1.54576,0.849027,50
3.33154,1.66618,1.13134,50
3.33546,1.95124,1.21886,50
3.32362,1.38861,0.968702,50
3.25987,1.71236,0.93337,50
3.23977,1.94865,1.37753,50
3.21501,1.62083,1.165,50
3.1154,1.60137,1.14497,50
3.03449,1.84341,1.09076,50
2.96991,1.92288,1.1172,50
